time (seconds),I_position (m),J_position (m),K_position (m),I_velocity (m/s),J_velocity (m/s),K_velocity (m/s),I_acceleration (m/s^2),J_acceleration (m/s^2),K_acceleration (m/s^2),,Acceleration magnitude,,Average acceleration magnitude
0,2888882.315,-5890441.188,1530625.817,4994.452352,949.2670096,-5773.314082,-3.766089921,7.679070577,-1.995399546,,8.782549605,,8.779640428
1,2893874.883,-5889488.082,1524851.506,4990.683008,956.9454598,-5775.305718,-3.772583554,7.677832464,-1.987890308,,8.782551217,,
2,2898863.679,-5888527.297,1519075.208,4986.907157,964.6226624,-5777.289825,-3.779069798,7.676579285,-1.980377155,,8.782546996,,
3,2903848.696,-5887558.837,1513296.929,4983.124805,972.2986075,-5779.2664,-3.786141961,7.675204556,-1.972179006,,8.782546667,,
4,2908829.927,-5886582.701,1507516.678,4979.335957,979.973285,-5781.235442,-3.792031622,7.674051183,-1.965345198,,8.782547872,,
5,2913807.365,-5885598.89,1501734.461,4975.540618,987.646685,-5783.196946,-3.798499585,7.672760728,-1.957822359,,8.782535208,,
6,2918781.006,-5884607.408,1495950.286,4971.738792,995.3187974,-5785.150911,-3.805558037,7.671358043,-1.949616946,,8.782540204,,
7,2923750.841,-5883608.253,1490164.162,4967.930485,1002.989612,-5787.097335,-3.811429416,7.670167394,-1.942773451,,8.782529859,,
8,2928716.864,-5882601.429,1484376.094,4964.115701,1010.659119,-5789.036214,-3.817894332,7.668870726,-1.935248997,,8.78254428,,6736895.014
9,2933679.07,-5881586.935,1478586.092,4960.294446,1018.327309,-5790.967546,-3.823762665,7.667673865,-1.928403889,,8.782546611,,6736895.026
10,2938637.451,-5880564.775,1472794.162,4956.466725,1025.994171,-5792.891329,-3.830811976,7.666252541,-1.920193633,,8.782578893,,6736895.04
11,2943592.001,-5879534.948,1467000.311,4952.632542,1033.659696,-5794.80756,-3.836655933,7.665005978,-1.913335609,,8.782545106,,6736895.055
12,2948542.714,-5878497.456,1461204.549,4948.791902,1041.323873,-5796.716236,-3.844265265,7.663410296,-1.904426636,,8.782543687,,6736895.072
13,2953489.583,-5877452.3,1455406.882,4944.944811,1048.986692,-5798.617356,-3.850115316,7.662176159,-1.897571841,,8.782545777,,6736895.09
14,2958432.602,-5876399.483,1449607.317,4941.091274,1056.648144,-5800.510916,-3.856531481,7.660780089,-1.890021557,,8.782514909,,6736895.109
15,2963371.763,-5875339.004,1443805.862,4937.231295,1064.308218,-5802.396915,-3.864159095,7.659221683,-1.88112227,,8.782597753,,6736895.13
16,2968307.062,-5874270.867,1438002.525,4933.36488,1071.966905,-5804.275349,-3.869978676,7.657925419,-1.874251332,,8.78256083,,6736895.152
17,2973238.491,-5873195.071,1432197.314,4929.492034,1079.624194,-5806.146216,-3.876388748,7.656516923,-1.86669782,,8.782550989,,6736895.176
18,2978166.044,-5872111.619,1426390.236,4925.612761,1087.280075,-5808.009514,-3.882220517,7.65524551,-1.859833339,,8.782562269,,6736895.201
19,2983089.714,-5871020.511,1420581.298,4921.727067,1094.934539,-5809.86524,-3.88920889,7.653699933,-1.851590795,,8.782565509,,6736895.228
20,2988009.496,-5869921.75,1414770.508,4917.834957,1102.587576,-5811.713393,-3.895606774,7.652266587,-1.844030826,,8.782561456,,6736895.256
21,2992925.382,-5868815.337,1408957.873,4913.936436,1110.239175,-5813.553969,-3.902016845,7.650858091,-1.836477314,,8.782597219,,6736895.286
22,2997837.367,-5867701.272,1403143.402,4910.031508,1117.889326,-5815.386966,-3.908390354,7.649375044,-1.828904429,,8.782559144,,6736895.317
23,3002745.443,-5866579.559,1397327.102,4906.12018,1125.53802,-5817.212382,-3.91418556,7.648029078,-1.822020576,,8.782537011,,6736895.349
24,3007649.605,-5865450.197,1391508.98,4902.202456,1133.185247,-5819.030214,-3.921149558,7.646433799,-1.813765118,,8.782545622,,6736895.383
25,3012549.846,-5864313.189,1385689.044,4898.278342,1140.830996,-5820.84046,-3.927535254,7.644975603,-1.806198691,,8.782570173,,6736895.418
26,3017446.159,-5863168.535,1379867.302,4894.347842,1148.475258,-5822.643118,-3.933306085,7.643579936,-1.799301923,,8.782522326,,6736895.455
27,3022338.539,-5862016.239,1374043.76,4890.410961,1156.118023,-5824.438185,-3.940270083,7.641984657,-1.791046465,,8.782568261,,6736895.493
28,3027226.979,-5860856.3,1368218.428,4886.467705,1163.75928,-5826.225659,-3.946004351,7.640514438,-1.784130324,,8.782455934,,6736895.533
29,3032111.473,-5859688.721,1362391.311,4882.518079,1171.39902,-5828.005538,-3.952968349,7.638919159,-1.775874866,,8.782526757,,6736895.574
30,3036992.013,-5858513.502,1356562.419,4878.562088,1179.037233,-5829.777819,-3.959341858,7.637436112,-1.768301982,,8.782579929,,6736895.616
31,3041868.595,-5857330.647,1350731.758,4874.599737,1186.673909,-5831.5425,-3.965690991,7.635903363,-1.760716182,,8.782587698,,6736895.66
32,3046741.211,-5856140.155,1344899.337,4870.631031,1194.309037,-5833.299579,-3.97202986,7.634348036,-1.753123697,,8.782581274,,6736895.705
33,3051609.855,-5854942.029,1339065.162,4866.655976,1201.942609,-5835.049053,-3.977764148,7.632877811,-1.746207532,,8.782520825,,6736895.752
34,3056474.52,-5853736.27,1333229.241,4862.674576,1209.574613,-5836.79092,-3.98467942,7.631183124,-1.737926214,,8.782540264,,6736895.8
35,3061335.202,-5852522.88,1327391.582,4858.686838,1217.20504,-5838.525178,-3.991052951,7.629700071,-1.730353303,,8.782650477,,6736895.85
36,3066191.892,-5851301.861,1321552.193,4854.692765,1224.83388,-5840.251825,-3.996738489,7.628130444,-1.723411308,,8.782507567,,6736895.901
37,3071044.585,-5850073.213,1315711.081,4850.692364,1232.461124,-5841.970857,-4.003653761,7.626435757,-1.715129991,,8.782564357,,6736895.954
38,3075893.275,-5848836.939,1309868.254,4846.685639,1240.08676,-5843.682274,-4.00992979,7.624753898,-1.70750542,,8.782481636,,6736896.008
39,3080737.954,-5847593.04,1304023.719,4842.672596,1247.71078,-5845.386073,-4.016254571,7.623171442,-1.699906679,,8.782523916,,6736896.063
40,3085578.618,-5846341.518,1298177.485,4838.65324,1255.333172,-5847.082252,-4.021964484,7.621651516,-1.692977599,,8.782479336,,6736896.12
41,3090415.259,-5845082.374,1292329.557,4834.627576,1262.953929,-5848.770808,-4.02885538,7.619907128,-1.684683367,,8.782529155,,6736896.178
42,3095247.871,-5843815.611,1286479.945,4830.59561,1270.573038,-5850.451739,-4.035155785,7.61827497,-1.677071711,,8.782548904,,6736896.238
43,3100076.448,-5842541.229,1280628.656,4826.557346,1278.190491,-5852.125043,-4.041431814,7.616593112,-1.66944714,,8.782523299,,6736896.299
44,3104900.983,-5841259.23,1274775.698,4822.51279,1285.806277,-5853.790718,-4.047117352,7.615023484,-1.662505145,,8.782463486,,6736896.362
45,3109721.471,-5839969.617,1268921.078,4818.461948,1293.420387,-5855.448761,-4.053417757,7.613391327,-1.654893489,,8.782516466,,6736896.426
46,3114537.905,-5838672.39,1263064.803,4814.404824,1301.032811,-5857.099171,-4.060284278,7.611597237,-1.646586342,,8.782571804,,6736896.492
47,3119350.279,-5837367.552,1257206.882,4810.341423,1308.643538,-5858.741946,-4.066535932,7.609865676,-1.638948856,,8.782535138,,6736896.558
48,3124158.586,-5836055.104,1251347.322,4806.271752,1316.252559,-5860.377083,-4.073402453,7.608071586,-1.630641709,,8.782616534,,6736896.627
49,3128962.82,-5834735.047,1245486.13,4802.195816,1323.859864,-5862.004579,-4.079087991,7.606501959,-1.623699715,,8.782609615,,6736896.697
50,3133762.975,-5833407.384,1239623.315,4798.113619,1331.465443,-5863.624434,-4.085315269,7.604720697,-1.616049314,,8.78255049,,6736896.768
51,3138559.045,-5832072.117,1233758.884,4794.025167,1339.069285,-5865.236645,-4.09213304,7.602827203,-1.607716337,,8.782555785,,6736896.841
52,3143351.024,-5830729.246,1227892.844,4789.930466,1346.671382,-5866.841209,-4.098384694,7.601095643,-1.600078851,,8.782577321,,6736896.915
53,3148138.904,-5829378.775,1222025.204,4785.82952,1354.271723,-5868.438125,-4.104021481,7.599426613,-1.593111027,,8.7824985,,6736896.99
54,3152922.681,-5828020.704,1216155.971,4781.722336,1361.870298,-5870.02739,-4.109682643,7.597807284,-1.586156117,,8.782485877,,6736897.067
55,3157702.347,-5826655.035,1210285.152,4777.608918,1369.467098,-5871.609003,-4.117090905,7.595801559,-1.577140564,,8.782597065,,6736897.146
56,3162477.896,-5825281.77,1204412.755,4773.489271,1377.062112,-5873.182962,-4.122752067,7.59418223,-1.570185654,,8.782606181,,6736897.226
57,3167249.323,-5823900.911,1198538.788,4769.363402,1384.655331,-5874.749264,-4.12890622,7.592251863,-1.562496509,,8.782456961,,6736897.307
58,3172016.621,-5822512.46,1192663.259,4765.231316,1392.246744,-5876.307907,-4.135182249,7.590570005,-1.554871938,,8.782602802,,6736897.39
59,3176779.784,-5821116.418,1186786.175,4761.093018,1399.836341,-5877.858889,-4.141385152,7.588739041,-1.547208623,,8.782589922,,6736897.474
60,3181538.805,-5819712.788,1180907.544,4756.948512,1407.424114,-5879.402209,-4.147490554,7.586709272,-1.539493647,,8.78236165,,6736897.56
61,3186293.679,-5818301.571,1175027.373,4752.797806,1415.010052,-5880.937864,-4.153790959,7.585077114,-1.531881991,,8.78259851,,6736897.647
62,3191044.399,-5816882.768,1169145.671,4748.640904,1422.594144,-5882.465852,-4.159354619,7.583258979,-1.524875422,,8.782442294,,6736897.735
63,3195790.959,-5815456.383,1163262.444,4744.477811,1430.176382,-5883.986172,-4.166196765,7.581415188,-1.51655536,,8.782652896,,6736897.825
64,3200533.352,-5814022.416,1157377.701,4740.308534,1437.756755,-5885.498821,-4.172370022,7.579530368,-1.508881323,,8.782634858,,6736897.916
65,3205271.574,-5812580.87,1151491.449,4736.133077,1445.335253,-5887.003797,-4.17852413,7.577600015,-1.501192233,,8.782577299,,6736898.009
66,3210005.616,-5811131.746,1145603.696,4731.951446,1452.911867,-5888.501099,-4.184039001,7.575682491,-1.494159883,,8.782349419,,6736898.104
67,3214735.474,-5809675.047,1139714.449,4727.763646,1460.486587,-5889.990724,-4.191374085,7.573527677,-1.48510565,,8.782452789,,6736898.199
68,3219461.142,-5808210.774,1133823.717,4723.569683,1468.059402,-5891.47267,-4.196986456,7.571808957,-1.47812496,,8.782473433,,6736898.296
69,3224182.612,-5806738.929,1127931.507,4719.369563,1475.630303,-5892.946936,-4.202598828,7.570090237,-1.47114427,,8.782503548,,6736898.395
70,3228899.879,-5805259.514,1122037.826,4715.16329,1483.19928,-5894.413519,-4.209343424,7.568047654,-1.462772608,,8.782574854,,6736898.495
71,3233612.936,-5803772.531,1116142.682,4710.950871,1490.766323,-5895.872419,-4.21608802,7.566005071,-1.454400946,,8.782659793,,6736898.596
72,3238321.778,-5802277.982,1110246.083,4706.73231,1498.331422,-5897.323632,-4.221700392,7.564286351,-1.447420256,,8.782722106,,6736898.699
73,3243026.399,-5800775.869,1104348.037,4702.507613,1505.894568,-5898.767157,-4.22780575,7.562256596,-1.439705336,,8.782642981,,6736898.804
74,3247726.792,-5799266.193,1098448.552,4698.276787,1513.45575,-5900.202992,-4.233959859,7.560326243,-1.432016245,,8.782688627,,6736898.909
75,3252422.95,-5797748.958,1092547.634,4694.039835,1521.014959,-5901.631135,-4.239425979,7.558309316,-1.424958067,,8.782441451,,6736899.016
76,3257114.869,-5796224.164,1086645.292,4689.796765,1528.572184,-5903.051584,-4.246121825,7.55616733,-1.416560575,,8.782474545,,6736899.125
77,3261802.542,-5794691.814,1080741.533,4685.547581,1536.127417,-5904.464338,-4.252275933,7.554236978,-1.408871484,,8.782554628,,6736899.235
78,3266485.962,-5793151.91,1074836.366,4681.292289,1543.680646,-5905.869395,-4.259020529,7.552194394,-1.400499822,,8.782727127,,6736899.347
79,3271165.124,-5791604.453,1068929.797,4677.030894,1551.231863,-5907.266752,-4.265125888,7.550164639,-1.392784902,,8.782717956,,6736899.46
80,3275840.022,-5790049.447,1063021.835,4672.763402,1558.781057,-5908.656408,-4.270640758,7.548247115,-1.385752553,,8.782637254,,6736899.574
81,3280510.649,-5788486.892,1057112.487,4668.489819,1566.328218,-5910.038361,-4.276746117,7.54621736,-1.378037632,,8.782650027,,6736899.69
82,3285177,-5786916.791,1051201.761,4664.21015,1573.873338,-5911.41261,-4.282802724,7.544088202,-1.370296882,,8.782561103,,6736899.807
83,3289839.067,-5785339.146,1045289.664,4659.924401,1581.416405,-5912.779152,-4.288268845,7.542071275,-1.363238704,,8.782397655,,6736899.926
84,3294496.846,-5783753.959,1039376.205,4655.632577,1588.95741,-5914.137986,-4.29496469,7.53992929,-1.354841212,,8.782530962,,6736900.046
85,3299150.331,-5782161.232,1033461.391,4651.334684,1596.496343,-5915.48911,-4.301070049,7.537899534,-1.347126292,,8.782589721,,6736900.167
86,3303799.514,-5780560.967,1027545.229,4647.030727,1604.033195,-5916.832522,-4.307126656,7.535770377,-1.339385542,,8.782546831,,6736900.29
87,3308444.39,-5778953.166,1021627.728,4642.720713,1611.567955,-5918.16822,-4.313183264,7.53364122,-1.331644792,,8.782515457,,6736900.414
88,3313084.953,-5777337.832,1015708.895,4638.404647,1619.100613,-5919.496204,-4.319337373,7.531710867,-1.323955701,,8.782721823,,6736900.54
89,3317721.197,-5775714.966,1009788.738,4634.082533,1626.631161,-5920.81647,-4.32529648,7.529382905,-1.316163292,,8.782487254,,6736900.668
90,3322353.116,-5774084.57,1003867.265,4629.754379,1634.159587,-5922.129018,-4.331401838,7.52735315,-1.308448371,,8.782603513,,6736900.796
91,3326980.704,-5772446.647,997944.483,4625.42019,1641.685883,-5923.433845,-4.337458446,7.525223992,-1.300707621,,8.782618187,,6736900.926
92,3331603.955,-5770801.199,992020.4,4621.079971,1649.210038,-5924.73095,-4.343417552,7.52289603,-1.292915212,,8.782418258,,6736901.058
93,3336222.862,-5769148.228,986095.0237,4616.733728,1656.732043,-5926.020331,-4.348932423,7.520978505,-1.285882863,,8.782472638,,6736901.191
94,3340837.42,-5767487.736,980168.3619,4612.381467,1664.251887,-5927.301987,-4.355579518,7.518737117,-1.277459542,,8.782618269,,6736901.325
95,3345447.623,-5765819.725,974240.4223,4608.023193,1671.769562,-5928.575915,-4.361587376,7.516508558,-1.269692962,,8.782566,,6736901.461
96,3350053.464,-5764144.197,968311.2127,4603.658912,1679.285056,-5929.842115,-4.367004746,7.514392228,-1.262608954,,8.782425768,,6736901.598
97,3354654.939,-5762461.155,962380.7407,4599.288629,1686.798361,-5931.100584,-4.373061353,7.512263071,-1.254868204,,8.78250854,,6736901.737
98,3359252.04,-5760770.601,956449.0141,4594.912352,1694.309467,-5932.351321,-4.379069211,7.510034511,-1.247101624,,8.78248985,,6736901.877
99,3363844.761,-5759072.537,950516.0406,4590.530084,1701.818363,-5933.594324,-4.385716306,7.507793123,-1.238678303,,8.782698277,,6736902.019
100,3368433.098,-5757366.965,944581.828,4586.141832,1709.32504,-5934.829592,-4.391133676,7.505676794,-1.231594295,,8.782600048,,6736902.162
101,3373017.043,-5755653.888,938646.384,4581.747602,1716.829489,-5936.057123,-4.397044032,7.503249429,-1.223776056,,8.78239011,,6736902.306
102,3377596.591,-5753933.307,932709.7163,4577.347399,1724.331698,-5937.276915,-4.403003139,7.500921467,-1.215983647,,8.782304693,,6736902.452
103,3382171.736,-5752205.225,926771.8327,4572.941229,1731.83166,-5938.488967,-4.409059747,7.49879231,-1.208242897,,8.782456652,,6736902.599
104,3386742.472,-5750469.645,920832.741,4568.529098,1739.329363,-5939.693278,-4.414477117,7.49667598,-1.201158888,,8.782399538,,6736902.748
105,3391308.792,-5748726.567,914892.4488,4564.111011,1746.824798,-5940.889845,-4.421026711,7.494235788,-1.192683908,,8.782456497,,6736902.898
106,3395870.692,-5746975.996,908950.9639,4559.686975,1754.317955,-5942.078667,-4.427083319,7.49210663,-1.184943158,,8.782643039,,6736903.05
107,3400428.164,-5745217.932,903008.294,4555.256995,1761.808825,-5943.259743,-4.433042425,7.489778668,-1.177150749,,8.782615415,,6736903.203
108,3404981.204,-5743452.379,897064.447,4550.821077,1769.297398,-5944.43307,-4.438952782,7.487351304,-1.16933251,,8.782486542,,6736903.357
109,3409529.804,-5741679.338,891119.4305,4546.379226,1776.783663,-5945.598649,-4.444911889,7.485023341,-1.161540101,,8.782482082,,6736903.513
110,3414073.96,-5739898.812,885173.2522,4541.931449,1784.267612,-5946.756476,-4.451017247,7.482993586,-1.15382518,,8.782827568,,6736903.671
111,3418613.665,-5738110.804,879225.9201,4537.477751,1791.749234,-5947.90655,-4.456878853,7.480466819,-1.145981112,,8.78262066,,6736903.829
112,3423148.914,-5736315.315,873277.4417,4533.018138,1799.22852,-5949.048871,-4.462296223,7.47835049,-1.138897104,,8.782647679,,6736903.989
113,3427679.699,-5734512.347,867327.8249,4528.552616,1806.70546,-5950.183436,-4.468157829,7.475823723,-1.131053035,,8.782462963,,6736904.151
114,3432206.017,-5732701.904,861377.0774,4524.081191,1814.180044,-5951.310244,-4.474658672,7.473284128,-1.122552225,,8.782520674,,6736904.314
115,3436727.86,-5730883.988,855425.207,4519.603869,1821.652262,-5952.429294,-4.48071528,7.471154971,-1.114811475,,8.78281109,,6736904.479
116,3441245.223,-5729058.601,849472.2214,4515.120654,1829.122105,-5953.540584,-4.485986399,7.468740434,-1.107649978,,8.782542122,,6736904.644
117,3445758.099,-5727225.745,843518.1285,4510.631554,1836.589563,-5954.644112,-4.492487242,7.466200839,-1.099149168,,8.78263773,,6736904.812
118,3450266.484,-5725385.422,837562.9358,4506.136574,1844.054626,-5955.739877,-4.497709611,7.463686901,-1.091961841,,8.782277299,,6736904.98
119,3454770.37,-5723537.636,831606.6513,4501.63572,1851.517285,-5956.827879,-4.504502957,7.46174372,-1.083616009,,8.783074057,,6736905.151
120,3459269.753,-5721682.389,825649.2826,4497.128998,1858.977529,-5957.908114,-4.509725325,7.459229781,-1.076428682,,8.782734776,,6736905.322
121,3463764.626,-5719819.682,819690.8376,4492.616413,1866.435349,-5958.980583,-4.515538181,7.456603612,-1.068558784,,8.782530408,,6736905.495
122,3468254.984,-5717949.519,813731.3241,4488.097972,1873.890736,-5960.045283,-4.522039024,7.454064017,-1.060057974,,8.782689236,,6736905.67
123,3472740.82,-5716071.901,807770.7497,4483.573681,1881.343679,-5961.102213,-4.526573404,7.451463504,-1.053501559,,8.782029416,,6736905.846
124,3477222.13,-5714186.832,801809.1222,4479.043544,1888.794169,-5962.151372,-4.532581261,7.449234944,-1.045734979,,8.782309252,,6736906.023
125,3481698.906,-5712294.314,795846.4495,4474.507569,1896.242196,-5963.192758,-4.539082105,7.446695349,-1.037234169,,8.782504922,,6736906.202
126,3486171.143,-5710394.349,789882.7393,4469.965762,1903.68775,-5964.226371,-4.544894961,7.44406918,-1.029364271,,8.78235885,,6736906.382
127,3490638.835,-5708486.939,783917.9994,4465.418127,1911.130822,-5965.252208,-4.55021483,7.441754046,-1.022228604,,8.782318008,,6736906.563
128,3495101.977,-5706572.088,777952.2375,4460.864672,1918.571402,-5966.270268,-4.556287435,7.439631209,-1.014476441,,8.782768936,,6736906.746
129,3499560.563,-5704649.797,771985.4614,4456.305401,1926.00948,-5967.280551,-4.562100374,7.437005003,-1.006606431,,8.782656758,,6736906.931
130,3504014.586,-5702720.07,766017.679,4451.740322,1933.445047,-5968.283054,-4.567815809,7.434179989,-0.998684761,,8.782331389,,6736907.117
131,3508464.041,-5700782.908,760048.8979,4447.169439,1940.878092,-5969.277777,-4.57372625,7.43175259,-0.990866411,,8.782467456,,6736907.304
132,3512908.923,-5698838.314,754079.126,4442.592759,1948.308607,-5970.264717,-4.57963669,7.429325191,-0.983048061,,8.782615128,,6736907.492
133,3517349.225,-5696886.292,748108.3711,4438.010288,1955.736581,-5971.243875,-4.585449628,7.426698984,-0.975178051,,8.782549648,,6736907.683
134,3521784.942,-5694926.842,742136.6409,4433.422032,1963.162006,-5972.215248,-4.591853062,7.423960546,-0.966625461,,8.782634542,,6736907.874
135,3526216.067,-5692959.968,736163.9432,4428.827997,1970.58487,-5973.178836,-4.596978002,7.421247764,-0.959386372,,8.782229064,,6736908.067
136,3530642.596,-5690985.673,730190.2858,4424.228189,1978.005164,-5974.134636,-4.602985945,7.419019172,-0.951619682,,8.782647955,,6736908.261
137,3535064.521,-5689003.959,724215.6765,4419.622613,1985.42288,-5975.082648,-4.608013382,7.416107583,-0.944328933,,8.782038268,,6736908.457
138,3539481.839,-5687014.828,718240.1231,4415.011276,1992.838006,-5976.022871,-4.614021325,7.413878991,-0.936562243,,8.782479338,,6736908.655
139,3543894.542,-5685018.284,712263.6333,4410.394184,2000.250534,-5976.955303,-4.619834263,7.411252785,-0.928692233,,8.78248289,,6736908.853
140,3548302.625,-5683014.328,706286.2151,4405.771342,2007.660453,-5977.879943,-4.625056705,7.40873881,-0.921504804,,8.782353409,,6736909.053
141,3552706.083,-5681002.964,700307.8761,4401.142758,2015.067755,-5978.796791,-4.631460139,7.406000372,-0.912952213,,8.782525051,,6736909.255
142,3557104.909,-5678984.193,694328.6241,4396.508437,2022.472429,-5979.705843,-4.636682582,7.403486397,-0.905764784,,8.782416868,,6736909.458
143,3561499.098,-5676958.02,688348.467,4391.868384,2029.874466,-5980.607101,-4.642988513,7.400549151,-0.897160534,,8.7823896,,6736909.662
144,3565888.644,-5674924.445,682367.4125,4387.222606,2037.273856,-5981.500562,-4.648210955,7.398035177,-0.889973105,,8.782302755,,6736909.868
145,3570273.541,-5672883.473,676385.4684,4382.57111,2044.670589,-5982.386224,-4.655302387,7.395383313,-0.880789593,,8.782899577,,6736910.075
146,3574653.784,-5670835.105,670402.6426,4377.913901,2052.064656,-5983.264088,-4.660427327,7.392670531,-0.873550504,,8.782610713,,6736910.284
147,3579029.367,-5668779.345,664418.9429,4373.250985,2059.456047,-5984.134152,-4.666142763,7.389845517,-0.865628834,,8.782483609,,6736910.494
148,3583400.284,-5666716.194,658434.3769,4368.582368,2066.844753,-5984.996415,-4.671955701,7.387219311,-0.857758824,,8.782592409,,6736910.705
149,3587766.53,-5664645.656,652448.9526,4363.908056,2074.230764,-5985.850875,-4.677080641,7.384506529,-0.850519735,,8.782334759,,6736910.918
150,3592128.098,-5662567.733,646462.6778,4359.228056,2081.61407,-5986.697532,-4.682303083,7.381992555,-0.843332306,,8.78231095,,6736911.132
151,3596484.984,-5660482.429,640475.5602,4354.542374,2088.994661,-5987.536384,-4.688706517,7.379254116,-0.834779716,,8.782608797,,6736911.348
152,3600837.181,-5658389.745,634487.6076,4349.851015,2096.372529,-5988.367431,-4.693831457,7.376541334,-0.827540627,,8.782382324,,6736911.565
153,3605184.684,-5656289.685,628498.8279,4345.153986,2103.747663,-5989.19067,-4.699546893,7.37371632,-0.819618957,,8.782323645,,6736911.784
154,3609527.487,-5654182.25,622509.2289,4340.451293,2111.120053,-5990.006102,-4.705359831,7.371090113,-0.811748947,,8.782500609,,6736912.004
155,3613865.585,-5652067.445,616518.8183,4335.742942,2118.489691,-5990.813725,-4.711568261,7.36795406,-0.803093036,,8.782401774,,6736912.225
156,3618198.971,-5649945.272,610527.604,4331.02894,2125.856566,-5991.613538,-4.716297709,7.365751125,-0.796639848,,8.782504698,,6736912.448
157,3622527.641,-5647815.733,604535.5938,4326.309291,2133.22067,-5992.405541,-4.722603641,7.362813879,-0.788035597,,8.782654124,,6736912.672
158,3626851.588,-5645678.832,598542.7956,4321.584004,2140.581991,-5993.189731,-4.728319077,7.359988865,-0.780113928,,8.782654218,,6736912.898
159,3631170.807,-5643534.57,592549.217,4316.853083,2147.940521,-5993.966108,-4.734034512,7.357163851,-0.772192258,,8.782666086,,6736913.125
160,3635485.292,-5641382.951,586554.8659,4312.116535,2155.296251,-5994.734671,-4.739159452,7.354451069,-0.764953169,,8.782524477,,6736913.353
161,3639795.038,-5639223.979,580559.7502,4307.374365,2162.64917,-5995.495419,-4.744777386,7.351427247,-0.756979839,,8.78233531,,6736913.583
162,3644100.039,-5637057.654,574563.8777,4302.626581,2169.999269,-5996.248351,-4.75118082,7.348688809,-0.748427248,,8.782772326,,6736913.814
163,3648400.29,-5634883.981,568567.2562,4297.873189,2177.346538,-5996.993466,-4.755520259,7.345690644,-0.74176742,,8.782047761,,6736914.047
164,3652695.784,-5632702.962,562569.8934,4293.114194,2184.690968,-5997.730763,-4.762021196,7.343151013,-0.73326649,,8.782732627,,6736914.281
165,3656986.516,-5630514.6,556571.7972,4288.349603,2192.032549,-5998.460241,-4.768229625,7.340014959,-0.724610579,,8.782761174,,6736914.517
166,3661272.481,-5628318.898,550572.9755,4283.579422,2199.371272,-5999.181899,-4.773354565,7.337302177,-0.71737149,,8.782684037,,6736914.754
167,3665553.673,-5626115.858,544573.436,4278.803657,2206.707126,-5999.895736,-4.778874996,7.334079548,-0.7093465,,8.782342597,,6736914.992
168,3669830.087,-5623905.485,538573.1866,4274.022315,2214.040104,-6000.601752,-4.784097438,7.331565573,-0.702159071,,8.782509289,,6736915.232
169,3674101.716,-5621687.779,532572.2351,4269.235402,2221.370194,-6001.299944,-4.790305868,7.32842952,-0.693503161,,8.782588238,,6736915.473
170,3678368.555,-5619462.745,526570.5894,4264.442923,2228.697387,-6001.990314,-4.794742809,7.325630162,-0.686894993,,8.782154668,,6736915.716
171,3682630.6,-5617230.385,520568.2571,4259.644886,2236.021674,-6002.672858,-4.800458245,7.322805148,-0.678973323,,8.782304901,,6736915.96
172,3686887.843,-5614990.703,514565.2463,4254.841296,2243.343046,-6003.347578,-4.806173681,7.319980134,-0.671051653,,8.782466905,,6736916.205
173,3691140.281,-5612743.7,508561.5646,4250.03216,2250.661492,-6004.014471,-4.811791614,7.316956313,-0.663078323,,8.782417724,,6736916.452
174,3695387.906,-5610489.381,502557.2199,4245.217484,2257.977004,-6004.673537,-4.817604553,7.314330106,-0.655208313,,8.782826223,,6736916.7
175,3699630.714,-5608227.747,496552.2201,4240.397274,2265.289571,-6005.324775,-4.82263199,7.311418517,-0.647917564,,8.782620179,,6736916.95
176,3703868.699,-5605958.803,490546.573,4235.571537,2272.599184,-6005.968184,-4.828249924,7.308394695,-0.639944235,,8.782605477,,6736917.201
177,3708101.855,-5603682.55,484540.2864,4230.740279,2279.905833,-6006.603763,-4.833867857,7.305370874,-0.631970905,,8.782602649,,6736917.453
178,3712330.177,-5601398.992,478533.3681,4225.903506,2287.20951,-6007.231512,-4.839388288,7.302148245,-0.623945915,,8.782388997,,6736917.707
179,3716553.66,-5599108.132,472525.8259,4221.061224,2294.510204,-6007.85143,-4.845006222,7.299124423,-0.615972585,,8.782409969,,6736917.963
180,3720772.298,-5596809.972,466517.6678,4216.213441,2301.807906,-6008.463516,-4.851312153,7.296187177,-0.607368335,,8.782851087,,6736918.219
181,3724986.085,-5594504.517,460508.9015,4211.360161,2309.102606,-6009.067768,-4.855651593,7.293189012,-0.600708507,,8.782300898,,6736918.478
182,3729195.016,-5592191.768,454499.5349,4206.501392,2316.394296,-6009.664187,-4.861367029,7.290363998,-0.592786837,,8.78257894,,6736918.737
183,3733399.086,-5589871.729,448489.5758,4201.63714,2323.682965,-6010.252772,-4.86688746,7.287141369,-0.584761847,,8.782423885,,6736918.998
184,3737598.289,-5587544.403,442479.032,4196.767411,2330.968603,-6010.833521,-4.872602896,7.284316355,-0.576840177,,8.782725564,,6736919.26
185,3741792.619,-5585209.793,436467.9113,4191.892212,2338.251203,-6011.406434,-4.877435329,7.28100715,-0.569446108,,8.782181357,,6736919.524
186,3745982.071,-5582867.902,430456.2217,4187.011548,2345.530753,-6011.97151,-4.883643758,7.277871096,-0.560790198,,8.782475147,,6736919.789
187,3750166.64,-5580518.733,424443.9709,4182.125426,2352.807244,-6012.528749,-4.8880807,7.275071739,-0.55418203,,8.782204704,,6736920.056
